Tested set size,Condition,Grades 1-2,SD,Grades 6-7,SD,College,SD,Attention_Type
2,Location change,0.62,0.24,0.93,0.15,0.92,0.18,1-shape
2,New colour,0.87,0.17,0.95,0.12,0.98,0.08,1-shape
2,No change,0.84,0.25,0.96,0.07,0.98,0.06,1-shape
3,Location change,0.47,0.23,0.79,0.23,0.77,0.24,1-shape
3,New colour,0.74,0.21,0.92,0.15,0.88,0.16,1-shape
3,No change,0.65,0.25,0.86,0.14,0.92,0.12,1-shape
4,Location change,0.3,0.26,0.58,0.3,0.67,0.27,1-shape
4,New colour,0.72,0.28,0.82,0.22,0.87,0.14,1-shape
4,No change,0.47,0.26,0.76,0.2,0.83,0.16,1-shape
6,Location change,0.15,0.19,0.35,0.31,0.39,0.28,1-shape
6,New colour,0.68,0.24,0.68,0.29,0.68,0.24,1-shape
6,No change,0.37,0.19,0.52,0.21,0.54,0.19,1-shape
2,Location change,0.61,0.31,0.88,0.19,0.91,0.17,100%
2,New colour,0.85,0.17,0.95,0.1,0.91,0.14,100%
2,No change,0.73,0.28,0.94,0.08,0.95,0.09,100%
2,Other shape’s colour,0.77,0.26,0.92,0.17,0.88,0.21,100%
3,Location change,0.36,0.28,0.73,0.29,0.79,0.25,100%
3,New colour,0.77,0.22,0.85,0.19,0.9,0.13,100%
3,No change,0.54,0.22,0.78,0.17,0.84,0.17,100%
3,Other shape’s colour,0.65,0.26,0.85,0.18,0.84,0.2,100%
2,Location change,0.34,0.19,0.69,0.22,0.68,0.24,80%
2,New colour,0.83,0.17,0.85,0.17,0.89,0.14,80%
2,No change,0.52,0.25,0.82,0.16,0.79,0.16,80%
2,Other shape’s colour,0.65,0.21,0.76,0.22,0.68,0.29,80%
3,Location change,0.18,0.16,0.48,0.31,0.45,0.24,80%
3,New colour,0.72,0.26,0.8,0.18,0.83,0.18,80%
3,No change,0.35,0.24,0.61,0.25,0.66,0.18,80%
3,Other shape’s colour,0.69,0.23,0.69,0.2,0.62,0.27,80%
2,Location change,0.24,0.25,0.56,0.31,0.61,0.31,50%
2,New colour,0.71,0.33,0.84,0.23,0.93,0.15,50%
2,No change,0.41,0.21,0.72,0.18,0.73,0.19,50%
2,Other shape’s colour,0.56,0.32,0.69,0.24,0.62,0.31,50%
3,Location change,0.17,0.21,0.37,0.29,0.33,0.2,50%
3,New colour,0.72,0.32,0.76,0.26,0.73,0.3,50%
3,No change,0.31,0.2,0.46,0.21,0.54,0.17,50%
3,Other shape’s colour,0.52,0.29,0.58,0.27,0.65,0.3,50%
2,Location change,0.17,0.27,0.5,0.44,0.63,0.41,20%
2,New colour,0.65,0.37,0.78,0.39,0.85,0.23,20%
2,No change,0.38,0.29,0.57,0.31,0.61,0.31,20%
2,Other shape’s colour,0.55,0.38,0.8,0.31,0.55,0.4,20%
3,Location change,0.22,0.31,0.27,0.34,0.33,0.36,20%
3,New colour,0.8,0.31,0.72,0.39,0.68,0.33,20%
3,No change,0.23,0.24,0.38,0.31,0.51,0.29,20%
3,Other shape’s colour,0.62,0.43,0.65,0.3,0.62,0.36,20%